HEI Name,Campus
ABE International Business College,Caloocan City
ABE International Business College,Iloilo
ABE International Business College,Manila
ABE International Business College,"Quezon Province, Inc."
ABE International College of Business & Economics,"Cabanatuan City, inc."
ABE International College of Business and Accountancy,Cubao
ABE International College of Business and Accountancy,Urdaneta City
ABE International College of Business and Economics,Tacloban City
ACLC College,Ormoc
ACLC College,Tacloban City
ACTS Computer College,Sta. Cruz
AISAT College,Dasmariñas Inc.
AMA COMPUTER COLLEGE,DUMAGUETE CITY iNC.
AMA Computer College,Baguio
AMA Computer College,Batangas City
AMA Computer College,Caloocan
AMA Computer College,Cotabato City
AMA Computer College,Dagupan City
AMA Computer College,Davao
AMA Computer College,East Rizal
AMA Computer College,Fairview
AMA Computer College,General Santos City
AMA Computer College,Iloilo
AMA Computer College,La Union
AMA Computer College,Laoag City
AMA Computer College,Las Piñas
AMA Computer College,Legazpi City
AMA Computer College,"Lipa City, Inc."
AMA Computer College,Makati
AMA Computer College,Sta. Mesa
AMA Computer College,Sta.Cruz
AMA Computer College,Tacloban City
AMA Computer College,Tarlac City
Abra State Institute of Science and Technology,Bangued
Abra State Institute of Science and Technology,Main
Access Computer and Technical Colleges,Camarin
Access Computer and Technical Colleges,Cubao
Access Computer and Technical Colleges,Lagro
Access Computer and Technical Colleges,Manila
Agro,Industrial Foundation College of the Philippines
Aklan State University,Banga Campus
Aklan State University,Ibajay Campus
Aklan State University,Kalibo Campus
Aklan State University,Makato
Aklan State University,New Washington
Apayao State College,Luna
Apayao State College,Main
Araullo University (Pamantasan ng Araullo),San Jose
Arellano University,Malabon
Arellano University,Mandaluyong
Arellano University,Manila
Arellano University,Pasay
Arellano University,Pasig
As,"Salihein Integrated School Foundation, Inc."
Asian Institute of Computer Studies,Bicutan
Asian Institute of Computer Studies,Quezon City
Asian Institute of Technology and Education,"Tiaong Campus, Inc."
Ateneo de Manila University,Quezon City
Aurora State College of Technology,Bazal
BATANGAS STATE UNIVERSITY,MABINI
"BENEDICTO COLLEGE, INC.",MANDAUE CITY
BIT INTERNATIONAL COLLEGE,"CARMEN, INC."
BIT INTERNATIONAL COLLEGE,"JAGNA, INC."
BIT INTERNATIONAL COLLEGE,"SIQUIJOR, INC."
BIT INTERNATIONAL COLLEGE,"TAGBILARAN, INC."
BIT INTERNATIONAL COLLEGE,"TALIBON, INC."
BLESSED TRINITY COLLEGE,"A.R. OF TALIBON, BOHOL, INC."
BOHOL ISLAND STATE UNIVERSITY,BALILIHAN CAMPUS
BOHOL ISLAND STATE UNIVERSITY,BILAR CAMPUS
BOHOL ISLAND STATE UNIVERSITY,CALAPE CAMPUS
BOHOL ISLAND STATE UNIVERSITY,CANDIJAY CAMPUS
BOHOL ISLAND STATE UNIVERSITY,CLARIN CAMPUS
BOHOL ISLAND STATE UNIVERSITY,MAIN
Basilan State College,Lamitan
Basilan State College,Maluso
Basilan State College,Sta. Clara
Basilan State College-Tipo,Tipo
Bataan Peninsula State University,Abucay
Bataan Peninsula State University,Bagac
Bataan Peninsula State University,Balanga
Bataan Peninsula State University,Dinalupihan
Bataan Peninsula State University,Orani
Batangas State University,Alangilan
Batangas State University,Balayan
Batangas State University,Lemery
Batangas State University,Lipa City
Batangas State University,Lobo
Batangas State University,Malvar
Batangas State University,Nasugbu
Batangas State University,Rosario
Batangas State University,San Juan
Belen B. Francisco Foundation,Albay
Benguet State University,Bokod Campus
Benguet State University,Buguias Campus
Benguet State University,Main
Bestlink College of the Philippines,Bulacan
Bicol University,College of Agriculture and Forestry
Bicol University,Daraga Campus
Bicol University,Main
Bicol University,Polangui Campus
Bicol University,Tabaco Campus
Biliran Province State University,Biliran Campus
Brokenshire College,Davao
Bukidnon State University,Alubijid
Bukidnon State University,Baungon
Bukidnon State University,Cabanglasan
Bukidnon State University,Damulog
Bukidnon State University,Impasugong
Bukidnon State University,Kadingilan
Bukidnon State University,Kalilangan
Bukidnon State University,Kitaotao
Bukidnon State University,Libona
Bukidnon State University,Main
Bukidnon State University,Malitbog
Bukidnon State University,Medina
Bukidnon State University,Quezon
Bukidnon State University,San Fernando
Bukidnon State University,Talakag
Bukidnon State University,Talisayan
Bulacan Agricultural State College,Doña Remedios Trinidad
Bulacan State University,Bustos
Bulacan State University,Hagonoy
Bulacan State University,Main
Bulacan State University,Meneses
Bulacan State University,San Jose Del Monte
CARD,"MRI Development Institute, Inc."
CARD-MRI Development Institute,TAGUM
CEBU INSTITUTE OF TECHNOLOGY,UNIVERSITY
CEBU NORMAL UNIVERSITY,BALAMBAN
CEBU NORMAL UNIVERSITY,MEDELLIN
CEBU TECHNOLOGICAL UNIVERSITY,ARGAO CAMPUS
CEBU TECHNOLOGICAL UNIVERSITY,BARILI CAMPUS
CEBU TECHNOLOGICAL UNIVERSITY,CARMEN CAMPUS
CEBU TECHNOLOGICAL UNIVERSITY,CEBU CITY MOUNTAIN SATELLITE CAMPUS
CEBU TECHNOLOGICAL UNIVERSITY,CONSOLACION
CEBU TECHNOLOGICAL UNIVERSITY,DAANBANTAYAN CAMPUS
CEBU TECHNOLOGICAL UNIVERSITY,DANAO CAMPUS
CEBU TECHNOLOGICAL UNIVERSITY,MAIN CAMPUS
CEBU TECHNOLOGICAL UNIVERSITY,MOALBOAL CAMPUS
CEBU TECHNOLOGICAL UNIVERSITY,SAN FRANCISCO CAMPUS
CEBU TECHNOLOGICAL UNIVERSITY,TUBURAN CAMPUS
CITI Global College Inc.,Biñan
CITI Global College Inc.,Cabuyao
COLLEGE OF TECHNOLOGICAL SCIENCES,"CEBU, INC."
CRISTAL e,"COLLEGE, INC."
"CSTC College of Sciences, Technology and Communications, Inc.",Atimonan
"CSTC College of Sciences, Technology and Communications, Inc.",Sariaya
Cagayan State University,Aparri
Cagayan State University,Carig
